a,e,i,RAAN,argp,nu
6.77813e+06,0.00100278,1.69367,0,0.0504661,6.26786
6.77813e+06,0.00100277,1.69367,0,0.0506284,6.26781
6.77813e+06,0.00100277,1.69367,0,0.0507908,6.26776
6.77813e+06,0.00100277,1.69367,0,0.0509531,6.26772
6.77813e+06,0.00100277,1.69367,0,0.0511154,6.26767
6.77813e+06,0.00100277,1.69367,0,0.0512777,6.26762
6.77813e+06,0.00100277,1.69367,0,0.05144,6.26757
6.77813e+06,0.00100277,1.69367,0,0.0516024,6.26752
6.77813e+06,0.00100276,1.69367,0,0.0517647,6.26747
6.77813e+06,0.00100276,1.69367,0,0.051927,6.26742
6.77813e+06,0.00100276,1.69367,0,0.0520893,6.26737
6.77813e+06,0.00100276,1.69367,0,0.0522516,6.26732
6.77813e+06,0.00100276,1.69367,0,0.0524139,6.26727
6.77813e+06,0.00100276,1.69367,0,0.0525762,6.26723
6.77813e+06,0.00100275,1.69367,0,0.0527385,6.26718
6.77813e+06,0.00100275,1.69367,0,0.0529008,6.26713
6.77813e+06,0.00100275,1.69367,0,0.0530631,6.26708
6.77813e+06,0.00100275,1.69367,0,0.0532254,6.26703
6.77813e+06,0.00100275,1.69367,0,0.0533876,6.26698
6.77813e+06,0.00100274,1.69367,0,0.0535499,6.26693
6.77813e+06,0.00100274,1.69367,0,0.0537122,6.26688
6.77813e+06,0.00100274,1.69367,0,0.0538745,6.26683
6.77813e+06,0.00100274,1.69367,0,0.0540368,6.26679
6.77813e+06,0.00100273,1.69367,0,0.054199,6.26674
6.77813e+06,0.00100273,1.69367,0,0.0543613,6.26669
6.77813e+06,0.00100273,1.69367,0,0.0545236,6.26664
6.77813e+06,0.00100273,1.69367,0,0.0546859,6.26659
6.77813e+06,0.00100272,1.69367,0,0.0548481,6.26654
6.77813e+06,0.00100272,1.69367,0,0.0550104,6.26649
6.77813e+06,0.00100272,1.69367,0,0.0551726,6.26644
6.77813e+06,0.00100271,1.69367,0,0.0553349,6.26639
6.77813e+06,0.00100271,1.69367,0,0.0554972,6.26635
6.77813e+06,0.00100271,1.69367,0,0.0556594,6.2663
6.77813e+06,0.0010027,1.69367,0,0.0558217,6.26625
6.77813e+06,0.0010027,1.69367,0,0.0559839,6.2662
6.77813e+06,0.0010027,1.69367,0,0.0561462,6.26615
6.77813e+06,0.00100269,1.69367,0,0.0563084,6.2661
6.77813e+06,0.00100269,1.69367,0,0.0564706,6.26605
6.77813e+06,0.00100269,1.69367,0,0.0566329,6.266
6.77813e+06,0.00100268,1.69367,0,0.0567951,6.26595
6.77813e+06,0.00100268,1.69367,0,0.0569574,6.26591
6.77813e+06,0.00100268,1.69367,0,0.0571196,6.26586
6.77813e+06,0.00100267,1.69367,0,0.0572818,6.26581
6.77813e+06,0.00100267,1.69367,0,0.057444,6.26576
6.77813e+06,0.00100266,1.69367,0,0.0576063,6.26571
6.77813e+06,0.00100266,1.69367,0,0.0577685,6.26566
6.77813e+06,0.00100266,1.69367,0,0.0579307,6.26561
6.77813e+06,0.00100265,1.69367,0,0.0580929,6.26556
6.77813e+06,0.00100265,1.69367,0,0.0582552,6.26551
6.77813e+06,0.00100264,1.69367,0,0.0584174,6.26547
6.77813e+06,0.00100264,1.69367,0,0.0585796,6.26542
6.77813e+06,0.00100264,1.69367,0,0.0587418,6.26537
6.77813e+06,0.00100263,1.69367,0,0.058904,6.26532
6.77813e+06,0.00100263,1.69367,0,0.0590662,6.26527
6.77813e+06,0.00100262,1.69367,0,0.0592284,6.26522
6.77813e+06,0.00100262,1.69367,0,0.0593906,6.26517
6.77813e+06,0.00100261,1.69367,0,0.0595528,6.26512
6.77813e+06,0.00100261,1.69367,0,0.059715,6.26507
6.77813e+06,0.0010026,1.69367,0,0.0598772,6.26503
6.77813e+06,0.0010026,1.69367,0,0.0600394,6.26498
6.77813e+06,0.00100259,1.69367,0,0.0602016,6.26493
6.77813e+06,0.00100259,1.69367,0,0.0603638,6.26488
6.77813e+06,0.00100258,1.69367,0,0.060526,6.26483
6.77813e+06,0.00100258,1.69367,0,0.0606881,6.26478
6.77813e+06,0.00100257,1.69367,0,0.0608503,6.26473
6.77813e+06,0.00100257,1.69367,0,0.0610125,6.26468
6.77813e+06,0.00100256,1.69367,0,0.0611747,6.26464
6.77813e+06,0.00100256,1.69367,0,0.0613369,6.26459
6.77813e+06,0.00100255,1.69367,0,0.061499,6.26454
6.77813e+06,0.00100255,1.69367,0,0.0616612,6.26449
6.77813e+06,0.00100254,1.69367,0,0.0618234,6.26444
6.77813e+06,0.00100253,1.69367,0,0.0619855,6.26439
6.77813e+06,0.00100253,1.69367,0,0.0621477,6.26434
6.77813e+06,0.00100252,1.69367,0,0.0623099,6.26429
6.77813e+06,0.00100252,1.69367,0,0.062472,6.26425
6.77813e+06,0.00100251,1.69367,0,0.0626342,6.2642
6.77813e+06,0.0010025,1.69367,0,0.0627963,6.26415
6.77813e+06,0.0010025,1.69367,1.49012e-08,0.0629585,6.2641
6.77813e+06,0.00100249,1.69367,1.49012e-08,0.0631206,6.26405
6.77813e+06,0.00100249,1.69367,0,0.0632828,6.264
6.77813e+06,0.00100248,1.69367,1.49012e-08,0.0634449,6.26395
6.77813e+06,0.00100247,1.69367,1.49012e-08,0.0636071,6.2639
6.77813e+06,0.00100247,1.69367,1.49012e-08,0.0637692,6.26385
6.77813e+06,0.00100246,1.69367,1.49012e-08,0.0639314,6.26381
6.77813e+06,0.00100245,1.69367,1.49012e-08,0.0640935,6.26376
6.77813e+06,0.00100245,1.69367,1.49012e-08,0.0642556,6.26371
6.77813e+06,0.00100244,1.69367,1.49012e-08,0.0644178,6.26366
6.77813e+06,0.00100243,1.69367,1.49012e-08,0.0645799,6.26361
6.77813e+06,0.00100243,1.69367,1.49012e-08,0.064742,6.26356
6.77813e+06,0.00100242,1.69367,1.49012e-08,0.0649042,6.26351
6.77813e+06,0.00100241,1.69367,0,0.0650663,6.26346
6.77813e+06,0.00100241,1.69367,1.49012e-08,0.0652284,6.26342
6.77813e+06,0.0010024,1.69367,1.49012e-08,0.0653905,6.26337
6.77813e+06,0.00100239,1.69367,1.49012e-08,0.0655527,6.26332
6.77813e+06,0.00100239,1.69367,1.49012e-08,0.0657148,6.26327
6.77813e+06,0.00100238,1.69367,1.49012e-08,0.0658769,6.26322
6.77813e+06,0.00100237,1.69367,0,0.066039,6.26317
6.77813e+06,0.00100236,1.69367,0,0.0662011,6.26312
6.77813e+06,0.00100236,1.69367,1.49012e-08,0.0663632,6.26307
6.77813e+06,0.00100235,1.69367,1.49012e-08,0.0665253,6.26303
6.77813e+06,0.00100234,1.69367,1.49012e-08,0.0666874,6.26298
6.77813e+06,0.00100233,1.69367,1.49012e-08,0.0668495,6.26293
6.77813e+06,0.00100233,1.69367,1.49012e-08,0.0670116,6.26288
6.77813e+06,0.00100232,1.69367,0,0.0671737,6.26283
6.77813e+06,0.00100231,1.69367,0,0.0673358,6.26278
6.77813e+06,0.0010023,1.69367,1.49012e-08,0.0674979,6.26273
6.77813e+06,0.00100229,1.69367,1.49012e-08,0.06766,6.26268
6.77813e+06,0.00100229,1.69367,0,0.0678221,6.26264
6.77813e+06,0.00100228,1.69367,1.49012e-08,0.0679842,6.26259
6.77813e+06,0.00100227,1.69367,1.49012e-08,0.0681463,6.26254
6.77813e+06,0.00100226,1.69367,1.49012e-08,0.0683084,6.26249
6.77813e+06,0.00100225,1.69367,1.49012e-08,0.0684705,6.26244
6.77813e+06,0.00100225,1.69367,0,0.0686326,6.26239
6.77813e+06,0.00100224,1.69367,1.49012e-08,0.0687946,6.26234
6.77813e+06,0.00100223,1.69367,0,0.0689567,6.26229
6.77813e+06,0.00100222,1.69367,1.49012e-08,0.0691188,6.26225
6.77813e+06,0.00100221,1.69367,0,0.0692809,6.2622
6.77813e+06,0.0010022,1.69367,1.49012e-08,0.0694429,6.26215
6.77813e+06,0.00100219,1.69367,1.49012e-08,0.069605,6.2621
